delta_v_m_s,total_prop_kg,fuel_kg,ox_kg,cost_usd,cost_per_ms_usd,burn_time_s,fuel_volume_L,ox_volume_L
448,2.250401,0.776,1.4744,627.01,1.3996,706.2,0.9823,1.0182
449,2.25591,0.7779,1.47801,628.54,1.3999,707.93,0.9847,1.0207
450,2.261422,0.779801,1.481622,630.08,1.4002,709.66,0.9871,1.0232
451,2.266937,0.781702,1.485235,631.62,1.4005,711.39,0.9895,1.0257
452,2.272454,0.783605,1.488849,633.15,1.4008,713.13,0.9919,1.0282
453,2.277973,0.785508,1.492465,634.69,1.4011,714.86,0.9943,1.0307
454,2.283494,0.787412,1.496083,636.23,1.4014,716.59,0.9967,1.0332
455,2.289018,0.789317,1.499702,637.77,1.4017,718.32,0.9991,1.0357
456,2.294545,0.791222,1.503322,639.31,1.402,720.06,1.0015,1.0382
457,2.300073,0.793129,1.506944,640.85,1.4023,721.79,1.004,1.0407
458,2.305604,0.795036,1.510568,642.39,1.4026,723.53,1.0064,1.0432
459,2.311137,0.796944,1.514193,643.93,1.4029,725.26,1.0088,1.0457
460,2.316673,0.798853,1.51782,645.47,1.4032,727.0,1.0112,1.0482
461,2.322211,0.800762,1.521448,647.02,1.4035,728.74,1.0136,1.0507
462,2.327751,0.802673,1.525078,648.56,1.4038,730.48,1.016,1.0532
463,2.333294,0.804584,1.52871,650.1,1.4041,732.22,1.0185,1.0557
464,2.338839,0.806496,1.532342,651.65,1.4044,733.96,1.0209,1.0582
465,2.344386,0.808409,1.535977,653.19,1.4047,735.7,1.0233,1.0608
466,2.349936,0.810323,1.539613,654.74,1.405,737.44,1.0257,1.0633
467,2.355488,0.812237,1.543251,656.29,1.4053,739.18,1.0281,1.0658
468,2.361042,0.814152,1.54689,657.84,1.4056,740.93,1.0306,1.0683
469,2.366599,0.816069,1.55053,659.38,1.4059,742.67,1.033,1.0708
470,2.372158,0.817985,1.554172,660.93,1.4062,744.41,1.0354,1.0733
471,2.377719,0.819903,1.557816,662.48,1.4065,746.16,1.0379,1.0758
472,2.383283,0.821822,1.561461,664.03,1.4068,747.9,1.0403,1.0784
473,2.388849,0.823741,1.565108,665.58,1.4072,749.65,1.0427,1.0809
474,2.394418,0.825661,1.568757,667.13,1.4075,751.4,1.0451,1.0834
475,2.399989,0.827582,1.572407,668.69,1.4078,753.15,1.0476,1.0859
476,2.405562,0.829504,1.576058,670.24,1.4081,754.9,1.05,1.0884
477,2.411138,0.831427,1.579711,671.79,1.4084,756.65,1.0524,1.091
478,2.416716,0.83335,1.583366,673.35,1.4087,758.4,1.0549,1.0935
479,2.422296,0.835275,1.587022,674.9,1.409,760.15,1.0573,1.096
480,2.427879,0.8372,1.590679,676.46,1.4093,761.9,1.0597,1.0985
481,2.433464,0.839126,1.594339,678.01,1.4096,763.65,1.0622,1.1011
482,2.439052,0.841052,1.598,679.57,1.4099,765.41,1.0646,1.1036
483,2.444642,0.84298,1.601662,681.13,1.4102,767.16,1.0671,1.1061
484,2.450234,0.844908,1.605326,682.69,1.4105,768.91,1.0695,1.1087
485,2.455829,0.846838,1.608991,684.24,1.4108,770.67,1.0719,1.1112
486,2.461426,0.848768,1.612658,685.8,1.4111,772.43,1.0744,1.1137
487,2.467025,0.850698,1.616327,687.36,1.4114,774.18,1.0768,1.1162
488,2.472627,0.85263,1.619997,688.93,1.4117,775.94,1.0793,1.1188
489,2.478231,0.854563,1.623669,690.49,1.412,777.7,1.0817,1.1213
490,2.483838,0.856496,1.627342,692.05,1.4123,779.46,1.0842,1.1239
491,2.489447,0.85843,1.631017,693.61,1.4127,781.22,1.0866,1.1264
492,2.495058,0.860365,1.634693,695.17,1.413,782.98,1.0891,1.1289
493,2.500672,0.862301,1.638371,696.74,1.4133,784.74,1.0915,1.1315
494,2.506288,0.864237,1.642051,698.3,1.4136,786.51,1.094,1.134
495,2.511907,0.866175,1.645732,699.87,1.4139,788.27,1.0964,1.1366
496,2.517528,0.868113,1.649415,701.44,1.4142,790.03,1.0989,1.1391
497,2.523151,0.870052,1.653099,703.0,1.4145,791.8,1.1013,1.1416
498,2.528777,0.871992,1.656785,704.57,1.4148,793.56,1.1038,1.1442
499,2.534405,0.873933,1.660472,706.14,1.4151,795.33,1.1062,1.1467
500,2.540035,0.875874,1.664161,707.71,1.4154,797.1,1.1087,1.1493
